time,enrolled,available,waitlisted,total
2024-02-19T22:33:59,0,9999,0,9999
2024-02-19T22:49:48,0,9999,0,9999
2024-02-19T23:05:28,0,9999,0,9999
2024-02-19T23:20:51,0,9999,0,9999
2024-02-19T23:36:11,0,9999,0,9999
2024-02-19T23:51:54,0,9999,0,9999
2024-02-20T00:07:29,0,9999,0,9999
2024-02-20T00:22:54,0,9999,0,9999
2024-02-20T00:38:17,0,9999,0,9999
2024-02-20T00:53:51,0,9999,0,9999
2024-02-20T01:09:29,0,9999,0,9999
2024-02-20T01:25:02,0,9999,0,9999
2024-02-20T01:40:28,0,9999,0,9999
2024-02-20T01:55:52,0,9999,0,9999
2024-02-20T02:11:35,0,9999,0,9999
2024-02-20T02:26:59,0,9999,0,9999
2024-02-20T02:42:23,0,9999,0,9999
2024-02-20T02:57:51,0,9999,0,9999
2024-02-20T03:13:47,0,9999,0,9999
2024-02-20T03:29:23,0,9999,0,9999
2024-02-20T03:44:58,0,9999,0,9999
2024-02-20T04:00:24,0,9999,0,9999
2024-02-20T04:28:01,0,9999,0,9999
2024-02-20T04:43:38,0,9999,0,9999
2024-02-20T04:59:14,0,9999,0,9999
2024-02-20T05:15:04,0,9999,0,9999
2024-02-20T05:30:59,0,9999,0,9999
2024-02-20T05:46:33,0,9999,0,9999
2024-02-20T06:02:10,0,9999,0,9999
2024-02-20T06:17:51,0,9999,0,9999
2024-02-20T06:33:19,0,9999,0,9999
2024-02-20T06:48:50,0,9999,0,9999
2024-02-20T07:04:06,0,9999,0,9999
2024-02-20T07:19:49,0,9999,0,9999
2024-02-20T07:35:24,0,9999,0,9999
2024-02-20T07:50:49,0,9999,0,9999
2024-02-20T08:06:11,0,9999,0,9999
2024-02-20T08:21:42,0,9999,0,9999
2024-02-20T08:37:15,0,9999,0,9999
2024-02-20T08:52:42,0,9999,0,9999
2024-02-20T09:08:13,0,9999,0,9999
2024-02-20T09:23:36,0,9999,0,9999
2024-02-20T09:39:23,0,9999,0,9999
2024-02-20T09:55:01,0,9999,0,9999
2024-02-20T10:10:40,0,9999,0,9999
2024-02-20T10:26:13,0,9999,0,9999
2024-02-20T10:42:09,0,9999,0,9999
2024-02-20T10:57:36,0,9999,0,9999
2024-02-20T11:13:27,0,9999,0,9999
2024-02-20T11:28:53,0,9999,0,9999
2024-02-20T11:44:40,0,9999,0,9999
2024-02-20T12:00:44,0,9999,0,9999
2024-02-20T12:16:33,0,9999,0,9999
2024-02-20T12:32:12,0,9999,0,9999
2024-02-20T12:48:05,0,9999,0,9999
2024-02-20T13:03:49,0,9999,0,9999
2024-02-20T13:19:32,0,9999,0,9999
2024-02-20T13:35:18,0,9999,0,9999
2024-02-20T13:50:47,0,9999,0,9999
2024-02-20T14:06:29,0,9999,0,9999
2024-02-20T14:22:04,0,9999,0,9999
2024-02-20T14:38:02,0,9999,0,9999
2024-02-20T14:53:44,0,9999,0,9999
2024-02-20T15:09:34,0,9999,0,9999
2024-02-20T15:25:18,0,9999,0,9999
2024-02-20T15:41:16,0,9999,0,9999
2024-02-20T15:57:18,0,9999,0,9999
2024-02-20T16:13:10,0,9999,0,9999
2024-02-20T16:28:43,0,9999,0,9999
2024-02-20T16:44:28,0,9999,0,9999
2024-02-20T17:00:18,0,9999,0,9999
2024-02-20T17:16:24,0,9999,0,9999
2024-02-20T17:32:33,0,9999,0,9999
2024-02-20T17:48:12,0,9999,0,9999
2024-02-20T18:04:04,0,9999,0,9999
2024-02-20T18:19:37,0,9999,0,9999
2024-02-20T18:35:24,0,9999,0,9999
2024-02-20T18:51:43,0,9999,0,9999
2024-02-20T19:07:57,0,9999,0,9999
2024-02-20T19:23:51,0,9999,0,9999
2024-02-20T19:39:33,0,9999,0,9999
2024-02-20T19:55:33,0,9999,0,9999
2024-02-20T20:11:34,0,9999,0,9999
2024-02-20T20:27:25,0,9999,0,9999
2024-02-20T20:43:18,0,9999,0,9999
2024-02-20T20:58:57,0,9999,0,9999
2024-02-20T21:14:53,0,9999,0,9999
2024-02-20T21:30:21,0,9999,0,9999
2024-02-20T21:45:58,0,9999,0,9999
2024-02-20T22:01:46,0,9999,0,9999
2024-02-20T22:17:30,0,9999,0,9999
2024-02-20T22:32:59,0,9999,0,9999
2024-02-20T22:48:34,0,9999,0,9999
2024-02-20T23:04:15,0,9999,0,9999
2024-02-20T23:20:11,0,9999,0,9999
2024-02-20T23:36:08,0,9999,0,9999
2024-02-20T23:52:04,0,9999,0,9999
2024-02-21T00:07:46,0,9999,0,9999
2024-02-21T00:23:32,0,9999,0,9999
2024-02-21T00:39:14,0,9999,0,9999
2024-02-21T00:55:14,0,9999,0,9999
2024-02-21T01:10:53,0,9999,0,9999
2024-02-21T01:26:29,0,9999,0,9999
2024-02-21T01:42:23,0,9999,0,9999
2024-02-21T01:57:54,0,9999,0,9999
2024-02-21T02:13:34,0,9999,0,9999
2024-02-21T02:28:53,0,9999,0,9999
2024-02-21T02:44:05,0,9999,0,9999
2024-02-21T02:59:17,0,9999,0,9999
2024-02-21T03:14:41,0,9999,0,9999
2024-02-21T03:29:53,0,9999,0,9999
2024-02-21T03:45:06,0,9999,0,9999
2024-02-21T04:00:20,0,9999,0,9999
2024-02-21T04:30:52,0,9999,0,9999
2024-02-21T04:46:10,0,9999,0,9999
2024-02-21T05:01:25,0,9999,0,9999
2024-02-21T05:16:40,0,9999,0,9999
2024-02-21T05:31:55,0,9999,0,9999
2024-02-21T05:47:10,0,9999,0,9999
2024-02-21T06:02:24,0,9999,0,9999
2024-02-21T06:17:38,0,9999,0,9999
2024-02-21T06:32:56,0,9999,0,9999
2024-02-21T06:48:10,0,9999,0,9999
2024-02-21T07:03:25,0,9999,0,9999
2024-02-21T07:18:38,0,9999,0,9999
2024-02-21T07:33:52,0,9999,0,9999
2024-02-21T07:49:05,0,9999,0,9999
2024-02-21T08:04:18,0,9999,0,9999
2024-02-21T08:19:32,0,9999,0,9999
2024-02-21T08:34:57,0,9999,0,9999
2024-02-21T08:50:13,0,9999,0,9999
2024-02-21T09:05:31,0,9999,0,9999
2024-02-21T09:20:49,0,9999,0,9999
2024-02-21T09:36:05,0,9999,0,9999
2024-02-21T09:51:32,0,9999,0,9999
2024-02-21T10:06:48,0,9999,0,9999
2024-02-21T10:22:17,0,9999,0,9999
2024-02-21T10:37:36,0,9999,0,9999
2024-02-21T10:52:53,0,9999,0,9999
2024-02-21T11:08:25,0,9999,0,9999
2024-02-21T11:23:44,0,9999,0,9999
2024-02-21T11:39:12,0,9999,0,9999
2024-02-21T11:54:31,0,9999,0,9999
2024-02-21T12:09:59,0,9999,0,9999
2024-02-21T12:25:17,0,9999,0,9999
2024-02-21T12:40:48,0,9999,0,9999
2024-02-21T12:56:04,0,9999,0,9999
2024-02-21T13:11:34,0,9999,0,9999
2024-02-21T13:26:51,0,9999,0,9999
2024-02-21T13:42:25,0,9999,0,9999
2024-02-21T13:57:45,0,9999,0,9999
2024-02-21T14:13:11,0,9999,0,9999
2024-02-21T14:28:40,0,9999,0,9999
2024-02-21T14:44:01,0,9999,0,9999
2024-02-21T14:59:30,0,9999,0,9999
2024-02-21T15:14:59,0,9999,0,9999
2024-02-21T15:30:31,0,9999,0,9999
2024-02-21T15:46:00,0,9999,0,9999
2024-02-21T16:01:33,0,9999,0,9999
2024-02-21T16:16:53,0,9999,0,9999
2024-02-21T16:32:28,0,9999,0,9999
2024-02-21T16:47:50,0,9999,0,9999
2024-02-21T17:03:25,0,9999,0,9999
2024-02-21T17:18:49,0,9999,0,9999
2024-02-21T17:34:08,0,9999,0,9999
2024-02-21T17:49:37,0,9999,0,9999
2024-02-21T18:04:58,0,9999,0,9999
2024-02-21T18:20:27,0,9999,0,9999
2024-02-21T18:35:52,0,9999,0,9999
2024-02-21T18:51:22,0,9999,0,9999
2024-02-21T19:06:43,0,9999,0,9999
2024-02-21T19:22:04,0,9999,0,9999
2024-02-21T19:37:31,0,9999,0,9999
2024-02-21T19:52:51,0,9999,0,9999
2024-02-21T20:08:21,0,9999,0,9999
2024-02-21T20:23:41,0,9999,0,9999
2024-02-21T20:39:11,0,9999,0,9999
2024-02-21T20:54:31,0,9999,0,9999
2024-02-21T21:09:48,0,9999,0,9999
2024-02-21T21:25:16,0,9999,0,9999
2024-02-21T21:40:32,0,9999,0,9999
2024-02-21T21:55:48,0,9999,0,9999
2024-02-21T22:11:13,0,9999,0,9999
2024-02-21T22:26:32,0,9999,0,9999
2024-02-21T22:41:48,0,9999,0,9999
2024-02-21T22:57:05,0,9999,0,9999
2024-02-21T23:12:32,0,9999,0,9999
2024-02-21T23:27:49,0,9999,0,9999
2024-02-21T23:43:05,0,9999,0,9999
2024-02-21T23:58:22,0,9999,0,9999
2024-02-22T00:13:54,0,9999,0,9999
2024-02-22T00:29:16,0,9999,0,9999
2024-02-22T00:44:36,0,9999,0,9999
2024-02-22T00:59:56,0,9999,0,9999
2024-02-22T01:15:14,0,9999,0,9999
2024-02-22T01:30:33,0,9999,0,9999
2024-02-22T01:46:02,0,9999,0,9999
2024-02-22T02:01:22,0,9999,0,9999
2024-02-22T02:16:40,0,9999,0,9999
2024-02-22T02:31:56,0,9999,0,9999
2024-02-22T02:47:13,0,9999,0,9999
2024-02-22T03:02:28,0,9999,0,9999
2024-02-22T03:17:58,0,9999,0,9999
2024-02-22T03:33:16,0,9999,0,9999
2024-02-22T03:48:40,0,9999,0,9999
2024-02-22T04:04:04,0,9999,0,9999
2024-02-22T04:34:39,0,9999,0,9999
2024-02-22T04:50:02,0,9999,0,9999
2024-02-22T05:05:29,0,9999,0,9999
2024-02-22T05:20:53,0,9999,0,9999
2024-02-22T05:36:13,0,9999,0,9999
2024-02-22T05:51:33,0,9999,0,9999
2024-02-22T06:06:54,0,9999,0,9999
2024-02-22T06:22:13,0,9999,0,9999
2024-02-22T06:37:32,0,9999,0,9999
2024-02-22T06:52:52,0,9999,0,9999
2024-02-22T07:08:10,0,9999,0,9999
2024-02-22T07:23:29,0,9999,0,9999
2024-02-22T07:38:46,0,9999,0,9999
2024-02-22T07:54:03,0,9999,0,9999
2024-02-22T08:09:21,0,9999,0,9999
2024-02-22T08:24:49,0,9999,0,9999
2024-02-22T08:40:09,0,9999,0,9999
2024-02-22T08:55:27,0,9999,0,9999
2024-02-22T09:10:48,0,9999,0,9999
2024-02-22T09:26:09,0,9999,0,9999
2024-02-22T09:41:43,0,9999,0,9999
2024-02-22T09:57:04,0,9999,0,9999
2024-02-22T10:12:29,0,9999,0,9999
2024-02-22T10:28:01,0,9999,0,9999
2024-02-22T10:43:31,0,9999,0,9999
2024-02-22T10:58:53,0,9999,0,9999
2024-02-22T11:14:35,0,9999,0,9999
2024-02-22T11:30:02,0,9999,0,9999
2024-02-22T11:45:37,0,9999,0,9999
2024-02-22T12:01:01,0,9999,0,9999
2024-02-22T12:16:37,0,9999,0,9999
2024-02-22T12:32:03,0,9999,0,9999
2024-02-22T12:47:37,0,9999,0,9999
2024-02-22T13:03:07,0,9999,0,9999
2024-02-22T13:18:41,0,9999,0,9999
2024-02-22T13:34:09,0,9999,0,9999
2024-02-22T13:49:39,0,9999,0,9999
2024-02-22T14:05:09,0,9999,0,9999
2024-02-22T14:21:14,0,9999,0,9999
2024-02-22T14:36:44,0,9999,0,9999
2024-02-22T14:52:02,0,9999,0,9999
2024-02-22T15:07:29,0,9999,0,9999
2024-02-22T15:22:46,0,9999,0,9999
2024-02-22T15:38:11,0,9999,0,9999
2024-02-22T15:53:31,0,9999,0,9999
2024-02-22T16:08:57,0,9999,0,9999
2024-02-22T16:24:15,0,9999,0,9999
2024-02-22T16:39:29,0,9999,0,9999
2024-02-22T16:54:55,0,9999,0,9999
2024-02-22T17:10:09,0,9999,0,9999
2024-02-22T17:25:23,0,9999,0,9999
2024-02-22T17:40:47,0,9999,0,9999
2024-02-22T17:55:59,0,9999,0,9999
2024-02-22T18:11:13,0,9999,0,9999
2024-02-22T18:26:36,0,9999,0,9999
2024-02-22T18:41:49,0,9999,0,9999
2024-02-22T18:57:00,0,9999,0,9999
2024-02-22T19:12:11,0,9999,0,9999
2024-02-22T19:27:32,0,9999,0,9999
2024-02-22T19:42:42,0,9999,0,9999
2024-02-22T19:57:53,0,9999,0,9999
2024-02-22T20:13:03,0,9999,0,9999
2024-02-22T20:28:13,0,9999,0,9999
2024-02-22T20:43:33,0,9999,0,9999
2024-02-22T20:58:43,0,9999,0,9999
2024-02-22T21:13:53,0,9999,0,9999
2024-02-22T21:29:03,0,9999,0,9999
2024-02-22T21:44:24,0,9999,0,9999
2024-02-22T21:59:35,0,9999,0,9999
2024-02-22T22:14:44,0,9999,0,9999
2024-02-22T22:29:54,0,9999,0,9999
2024-02-22T22:45:04,0,9999,0,9999
2024-02-22T23:00:15,0,9999,0,9999
2024-02-22T23:15:36,0,9999,0,9999
2024-02-22T23:31:52,0,9999,0,9999
2024-02-22T23:47:09,0,9999,0,9999
2024-02-23T00:02:28,0,9999,0,9999
2024-02-23T00:21:09,0,9999,0,9999
2024-02-23T00:37:07,0,9999,0,9999
2024-02-23T00:52:30,0,9999,0,9999
2024-02-23T01:08:03,0,9999,0,9999
2024-02-23T01:23:24,0,9999,0,9999
2024-02-23T01:38:46,0,9999,0,9999
2024-02-23T01:54:06,0,9999,0,9999
2024-02-23T02:09:27,0,9999,0,9999
2024-02-23T02:24:47,0,9999,0,9999
2024-02-23T02:40:06,0,9999,0,9999
2024-02-23T02:55:25,0,9999,0,9999
2024-02-23T03:10:45,0,9999,0,9999
2024-02-23T03:26:07,0,9999,0,9999
2024-02-23T03:41:28,0,9999,0,9999
2024-02-23T03:57:00,0,9999,0,9999
2024-02-23T04:12:21,0,9999,0,9999
2024-02-23T04:29:47,0,9999,0,9999
2024-02-23T04:45:26,0,9999,0,9999
2024-02-23T05:00:48,0,9999,0,9999
2024-02-23T05:16:10,0,9999,0,9999
2024-02-23T05:31:30,0,9999,0,9999
2024-02-23T05:46:51,0,9999,0,9999
2024-02-23T06:02:13,0,9999,0,9999
2024-02-23T06:17:34,0,9999,0,9999
2024-02-23T06:32:54,0,9999,0,9999
2024-02-23T06:48:15,0,9999,0,9999
2024-02-23T07:03:36,0,9999,0,9999
2024-02-23T07:18:56,0,9999,0,9999
2024-02-23T07:34:15,0,9999,0,9999
2024-02-23T07:49:35,0,9999,0,9999
2024-02-23T08:04:55,0,9999,0,9999
2024-02-23T08:20:26,0,9999,0,9999
2024-02-23T08:35:45,0,9999,0,9999
2024-02-23T08:51:03,0,9999,0,9999
2024-02-23T09:06:21,0,9999,0,9999
2024-02-23T09:21:39,0,9999,0,9999
2024-02-23T09:36:57,0,9999,0,9999
2024-02-23T09:52:18,0,9999,0,9999
2024-02-23T10:07:37,0,9999,0,9999
2024-02-23T10:22:55,0,9999,0,9999
2024-02-23T10:38:22,0,9999,0,9999
2024-02-23T10:53:40,0,9999,0,9999
2024-02-23T11:08:58,0,9999,0,9999
2024-02-23T11:24:16,0,9999,0,9999
2024-02-23T11:39:34,0,9999,0,9999
2024-02-23T11:55:03,0,9999,0,9999
2024-02-23T12:10:21,0,9999,0,9999
2024-02-23T12:25:41,0,9999,0,9999
2024-02-23T12:41:00,0,9999,0,9999
2024-02-23T12:56:28,0,9999,0,9999
2024-02-23T13:11:46,0,9999,0,9999
2024-02-23T13:27:04,0,9999,0,9999
2024-02-23T13:42:22,0,9999,0,9999
2024-02-23T13:57:41,0,9999,0,9999
2024-02-23T14:13:10,0,9999,0,9999
2024-02-23T14:28:28,0,9999,0,9999
2024-02-23T14:43:47,0,9999,0,9999
2024-02-23T14:59:05,0,9999,0,9999
2024-02-23T15:14:34,0,9999,0,9999
2024-02-23T15:29:53,0,9999,0,9999
2024-02-23T15:45:11,0,9999,0,9999
2024-02-23T16:00:31,0,9999,0,9999
2024-02-23T16:15:50,0,9999,0,9999
2024-02-23T16:31:10,0,9999,0,9999
2024-02-23T16:46:39,0,9999,0,9999
2024-02-23T17:01:58,0,9999,0,9999
2024-02-23T17:17:19,0,9999,0,9999
2024-02-23T17:32:39,0,9999,0,9999
2024-02-23T17:47:57,0,9999,0,9999
2024-02-23T18:03:17,0,9999,0,9999
2024-02-23T18:18:47,0,9999,0,9999
2024-02-23T18:34:07,0,9999,0,9999
2024-02-23T18:49:26,0,9999,0,9999
2024-02-23T19:04:47,0,9999,0,9999
2024-02-23T19:20:06,0,9999,0,9999
2024-02-23T19:35:25,0,9999,0,9999
2024-02-23T19:50:45,0,9999,0,9999
2024-02-23T20:06:04,0,9999,0,9999
2024-02-23T20:21:23,0,9999,0,9999
2024-02-23T20:36:43,0,9999,0,9999
2024-02-23T20:52:12,0,9999,0,9999
2024-02-23T21:07:31,0,9999,0,9999
2024-02-23T21:22:51,0,9999,0,9999
2024-02-23T21:38:11,0,9999,0,9999
2024-02-23T21:53:30,0,9999,0,9999
2024-02-23T22:08:49,0,9999,0,9999
2024-02-23T22:24:08,0,9999,0,9999
2024-02-23T22:39:27,0,9999,0,9999
2024-02-23T22:54:56,0,9999,0,9999
2024-02-23T23:10:16,0,9999,0,9999
2024-02-23T23:25:36,0,9999,0,9999
2024-02-23T23:40:56,0,9999,0,9999
2024-02-23T23:56:17,0,9999,0,9999
2024-02-24T00:11:38,0,9999,0,9999
2024-02-24T00:27:05,0,9999,0,9999
2024-02-24T00:42:28,0,9999,0,9999
2024-02-24T00:57:53,0,9999,0,9999
2024-02-24T01:13:14,0,9999,0,9999
2024-02-24T01:28:36,0,9999,0,9999
2024-02-24T01:43:58,0,9999,0,9999
2024-02-24T01:59:29,0,9999,0,9999
2024-02-24T02:14:51,0,9999,0,9999
2024-02-24T02:30:12,0,9999,0,9999
2024-02-24T02:45:33,0,9999,0,9999
2024-02-24T03:00:53,0,9999,0,9999
2024-02-24T03:16:16,0,9999,0,9999
2024-02-24T03:31:37,0,9999,0,9999
